FY 2018 Complaints by Consumer State and Topic,,
Consumer State,Topic*,Complaints
Minnesota,"Energy, solar, & utilities",118
Minnesota,Home improvement & cleaning,863
Minnesota,Home security & alarms,287
Minnesota,Imposters,7072
Minnesota,"Lotteries, prizes & sweepstakes",795
Minnesota,Medical & prescriptions,7740
Minnesota,Reducing debt,14555
Minnesota,Vacation & timeshares,2998
Minnesota,Warranties & protection plans,1773
Minnesota,Work from home,486
Mississippi,Computer & technical support,552
Mississippi,"Energy, solar, & utilities",26
Mississippi,Home improvement & cleaning,51
Mississippi,Home security & alarms,535
Mississippi,Imposters,2242
Mississippi,"Lotteries, prizes & sweepstakes",306
Mississippi,Medical & prescriptions,2311
Mississippi,Reducing debt,3678
Mississippi,Vacation & timeshares,466
Mississippi,Warranties & protection plans,738
Mississippi,Work from home,188
Missouri,Computer & technical support,1676
Missouri,"Energy, solar, & utilities",125
Missouri,Home improvement & cleaning,372
Missouri,Home security & alarms,840
Missouri,Imposters,6108
Missouri,"Lotteries, prizes & sweepstakes",613
Missouri,Medical & prescriptions,6220
Missouri,Reducing debt,13123
Missouri,Vacation & timeshares,1356
Missouri,Warranties & protection plans,414
Missouri,Work from home,572
Montana,Computer & technical support,499
Montana,"Energy, solar, & utilities",39
Montana,Home improvement & cleaning,39
Montana,Home security & alarms,48
Montana,Imposters,1343
Montana,"Lotteries, prizes & sweepstakes",228
Montana,Medical & prescriptions,1735
Montana,Reducing debt,2848
Montana,Vacation & timeshares,579
Montana,Warranties & protection plans,641
Montana,Work from home,143
Nebraska,Computer & technical support,750
Nebraska,"Energy, solar, & utilities",43
Nebraska,Home improvement & cleaning,189
Nebraska,Home security & alarms,82
Nebraska,Imposters,2029
Nebraska,"Lotteries, prizes & sweepstakes",271
Nebraska,Medical & prescriptions,2634
Nebraska,Reducing debt,6270
Nebraska,Vacation & timeshares,890
Nebraska,Warranties & protection plans,1090
Nebraska,Work from home,180
Nevada,Computer & technical support,2929
Nevada,"Energy, solar, & utilities",1840
Nevada,Home improvement & cleaning,2369
Nevada,Home security & alarms,308
Nevada,Imposters,6528
Nevada,"Lotteries, prizes & sweepstakes",703
Nevada,Medical & prescriptions,4773
Nevada,Reducing debt,9443
Nevada,Vacation & timeshares,2181
Nevada,Warranties & protection plans,1750
Nevada,Work from home,477
New Hampshire,Computer & technical support,895
New Hampshire,"Energy, solar, & utilities",143
New Hampshire,Home improvement & cleaning,110
New Hampshire,Home security & alarms,111
New Hampshire,Imposters,1727
New Hampshire,"Lotteries, prizes & sweepstakes",204
New Hampshire,Medical & prescriptions,1708
New Hampshire,Reducing debt,3324
New Hampshire,Vacation & timeshares,1066
New Hampshire,Warranties & protection plans,658
New Hampshire,Work from home,124
New Jersey,Computer & technical support,4202
New Jersey,"Energy, solar, & utilities",9990
New Jersey,Home improvement & cleaning,4577
New Jersey,Home security & alarms,1424
New Jersey,Imposters,10412
New Jersey,"Lotteries, prizes & sweepstakes",1329
New Jersey,Medical & prescriptions,12142
New Jersey,Reducing debt,23411
New Jersey,Vacation & timeshares,4426
New Jersey,Warranties & protection plans,3251
New Jersey,Work from home,693
New Mexico,Computer & technical support,1200
New Mexico,"Energy, solar, & utilities",155
New Mexico,Home improvement & cleaning,119
New Mexico,Home security & alarms,92
New Mexico,Imposters,2318
New Mexico,"Lotteries, prizes & sweepstakes",318
New Mexico,Medical & prescriptions,2498
New Mexico,Reducing debt,4556
New Mexico,Vacation & timeshares,934
New Mexico,Warranties & protection plans,756
New Mexico,Work from home,186
New York,Computer & technical support,11653
New York,"Energy, solar, & utilities",7916
New York,Home improvement & cleaning,3002
New York,Home security & alarms,1949
New York,Imposters,19855
New York,"Lotteries, prizes & sweepstakes",3039
New York,Medical & prescriptions,22612
New York,Reducing debt,44489
New York,Vacation & timeshares,10418
New York,Warranties & protection plans,6815
New York,Work from home,1730
North Carolina,Computer & technical support,3307
North Carolina,"Energy, solar, & utilities",920
North Carolina,Home improvement & cleaning,928
North Carolina,Home security & alarms,3536
North Carolina,Imposters,10533
North Carolina,"Lotteries, prizes & sweepstakes",1510
North Carolina,Medical & prescriptions,15218
North Carolina,Reducing debt,22904
North Carolina,Vacation & timeshares,3486
North Carolina,Warranties & protection plans,4585
North Carolina,Work from home,990
North Dakota,Computer & technical support,294
North Dakota,"Energy, solar, & utilities",19
North Dakota,Home improvement & cleaning,13
North Dakota,Home security & alarms,29
North Dakota,Imposters,608
North Dakota,"Lotteries, prizes & sweepstakes",116
North Dakota,Medical & prescriptions,638
North Dakota,Reducing debt,940
North Dakota,Vacation & timeshares,253
North Dakota,Warranties & protection plans,343
North Dakota,Work from home,56
Ohio,Computer & technical support,4090
Ohio,"Energy, solar, & utilities",4161
Ohio,Home improvement & cleaning,772
Ohio,Home security & alarms,2102
Ohio,Imposters,10537
Ohio,"Lotteries, prizes & sweepstakes",1391
Ohio,Medical & prescriptions,18050
Ohio,Reducing debt,25682
Ohio,Vacation & timeshares,5536
Ohio,Warranties & protection plans,5549
Ohio,Work from home,938
Oklahoma,Computer & technical support,865
Oklahoma,"Energy, solar, & utilities",55
Oklahoma,Home improvement & cleaning,195
Oklahoma,Home security & alarms,584
Oklahoma,Imposters,3102
Oklahoma,"Lotteries, prizes & sweepstakes",389
Oklahoma,Medical & prescriptions,4211
Oklahoma,Reducing debt,6924
Oklahoma,Vacation & timeshares,1155
Oklahoma,Warranties & protection plans,1124
Oklahoma,Work from home,326
Oregon,Computer & technical support,3598
Oregon,"Energy, solar, & utilities",294
Oregon,Home improvement & cleaning,1484
Oregon,Home security & alarms,336
Oregon,Imposters,7278
Oregon,"Lotteries, prizes & sweepstakes",1534
Oregon,Medical & prescriptions,6228
Oregon,Reducing debt,15102
Oregon,Vacation & timeshares,4906
Oregon,Warranties & protection plans,2496
Oregon,Work from home,680
Pennsylvania,Computer & technical support,5051
Pennsylvania,"Energy, solar, & utilities",4172
Pennsylvania,Home improvement & cleaning,1440
Pennsylvania,Home security & alarms,2564
Pennsylvania,Imposters,12453
Pennsylvania,"Lotteries, prizes & sweepstakes",1513
Pennsylvania,Medical & prescriptions,19174
Pennsylvania,Reducing debt,25141
Pennsylvania,Vacation & timeshares,3448
Pennsylvania,Warranties & protection plans,5399
Pennsylvania,Work from home,1120
Puerto Rico,Computer & technical support,8
Puerto Rico,"Energy, solar, & utilities",7
Puerto Rico,Home security & alarms,6
Puerto Rico,Imposters,51
Puerto Rico,"Lotteries, prizes & sweepstakes",18
Puerto Rico,Medical & prescriptions,36
Puerto Rico,Reducing debt,221
Puerto Rico,Vacation & timeshares,20
Puerto Rico,Warranties & protection plans,11
Puerto Rico,Work from home,6
Rhode Island,Computer & technical support,406
Rhode Island,"Energy, solar, & utilities",264
Rhode Island,Home improvement & cleaning,169
Rhode Island,Home security & alarms,85
Rhode Island,Imposters,1178
Rhode Island,"Lotteries, prizes & sweepstakes",133
Rhode Island,Medical & prescriptions,1163
Rhode Island,Reducing debt,2355
Rhode Island,Vacation & timeshares,577
Rhode Island,Warranties & protection plans,364
Rhode Island,Work from home,86
South Carolina,Computer & technical support,1598
South Carolina,"Energy, solar, & utilities",781
South Carolina,Home improvement & cleaning,283
South Carolina,Home security & alarms,1673
South Carolina,Imposters,4408
South Carolina,"Lotteries, prizes & sweepstakes",727
South Carolina,Medical & prescriptions,6316
South Carolina,Reducing debt,8491
South Carolina,Vacation & timeshares,2588
South Carolina,Warranties & protection plans,1857
South Carolina,Work from home,443
South Dakota,Computer & technical support,237
South Dakota,"Energy, solar, & utilities",13
South Dakota,Home improvement & cleaning,28
South Dakota,Home security & alarms,45
South Dakota,Imposters,942
South Dakota,"Lotteries, prizes & sweepstakes",113
South Dakota,Medical & prescriptions,596
South Dakota,Reducing debt,1112
South Dakota,Vacation & timeshares,310
South Dakota,Warranties & protection plans,362
